"entity","identifier","reason","detail"
"announcement","hostel-allotment-list-for-academic-year-2025-05-17-2025","attachment not resolved to local PDF","boys-hostel-07_17481748192.xlsx"
"announcement","hostel-allotment-list-for-academic-year-2025-05-17-2025","attachment not resolved to local PDF","boys-hostel-6_17481748191.xlsx"
"announcement","hostel-allotment-list-for-academic-year-2025-05-17-2025","attachment not resolved to local PDF","boys-hostel-5_17481748190.xlsx"
"announcement","notice-inviting-tender-for-provide-supply-of-office-stationary-other-miscellaneous-items-for-smbb-medical-university-larkana-04-23-2025","attachment not resolved to local PDF","SBDs+&+NIT+(1)_17460117020.pdf"
"announcement","notice-inviting-tender-for-provide-supply-of-office-stationary-for-examination-department-smbb-medical-university-larkana-03-03-2025","attachment not resolved to local PDF","NIT(1)_17418025240.pdf"
"announcement","timetable-for-postgraduate-degree-theory-examination-session-september-2024-02-24-2025","attachment not resolved to local PDF","Time+table,+postgraduate+Theory+exam+Sept-2024+(1)_17404639190.pdf"
"announcement","notice-inviting-tender-for-repair-renovation-work-of-girls-hostel-no-01-and-hostel-no04-cmc-of-smbb-medical-university-larkana-11-22-2023","attachment not resolved to local PDF","Complaint+Redressal+Committee++(1)_17006536541.pdf"
"announcement","notice-inviting-tender-for-construction-of-open-storm-drain-including-pumping-station-with-pumping-room-drain-from-cmc-campus-to-rice-canal-at-chandka-medical-college-of-shaheed-mohtarma-benazir-bhutto-medical-university-larkana-09-25-2023","attachment not resolved to local PDF","Nit(2)_053455_16958346140.pdf"
"announcement","admission-for-certificate-in-health-professions-education-c-hpe-session-2023-05-30-2023","attachment not resolved to local PDF","CHPE+APPLICATION+FORM++(1)_16855177110.pdf"
"announcement","notice-inviting-tender-for-mr-works-at-smbbmu-03-05-2021","attachment not resolved to local PDF","3_16152788182.docx"
"announcement","notice-inviting-tender-for-mr-works-at-smbbmu-03-05-2021","attachment not resolved to local PDF","2_16152788171.docx"
"announcement","notice-inviting-tender-for-mr-works-at-smbbmu-03-05-2021","attachment not resolved to local PDF","1_16152788170.docx"
"announcement","notice-inviting-tender-for-mr-work-of-badc-and-repair-renovation-of-old-cpsp-building-02-11-2021","attachment not resolved to local PDF","1_16134544931.docx"
"announcement","notice-inviting-tender-for-mr-work-of-badc-and-repair-renovation-of-old-cpsp-building-02-11-2021","attachment not resolved to local PDF","2_16134544930.docx"
"announcement","notice-inviting-tender-for-renovation-and-rehabilitation-of-iprs-and-reconstruction-of-damaged-boundary-wall-at-gmmmc-10-17-2020","attachment not resolved to local PDF","Bidding+Document+R&R+Institute+of+Physiotherpay+Department_16031764090.docx"
"announcement","request-for-proposal-for-consultancy-services-for-preparation-of-drawings-designs-estimate-boqs-for-project-titled-construction-centraldigital-library-cmc-at-smbb-medical-university-larkana-08-28-2020","attachment not resolved to local PDF","RFP+final-n_15998053050.docx"
"announcement","list-of-boys-hostel-allotments-of-chandka-medical-college-04-30-2020","attachment not resolved to local PDF","Boys+Hostel+No_15918173520.xlsx"
"announcement","list-of-boys-hostel-allotments-of-chandka-medical-college-04-30-2020","attachment not resolved to local PDF","Boys+Hostel+No_15883183081.xls"
"announcement","list-of-boys-hostel-allotments-of-chandka-medical-college-04-30-2020","attachment not resolved to local PDF","Boys+Hostel+No_15883183080.xlsx"
"announcement","list-of-boys-hostel-allotments-of-chandka-medical-college-04-30-2020","attachment not resolved to local PDF","Boys+Hostel+No_15883182341.xlsx"
"announcement","list-of-boys-hostel-allotments-of-chandka-medical-college-04-30-2020","attachment not resolved to local PDF","Boys+Hostel+No_15883182340.xlsx"
"announcement","notice-inviting-tender-for-adp-scheme-titled-renovation-rehabilitation-of-chandka-medical-college-and-construction-of-noori-girls-hostel-of-smbb-medical-university-larkana-03-20-2020","attachment not resolved to local PDF","6_15847782310.docx"
"announcement","notice-inviting-tender-for-adp-scheme-titled-renovation-rehabilitation-of-chandka-medical-college-and-construction-of-noori-girls-hostel-of-smbb-medical-university-larkana-03-20-2020","attachment not resolved to local PDF","4_15847781213.docx"
"announcement","notice-inviting-tender-for-adp-scheme-titled-renovation-rehabilitation-of-chandka-medical-college-and-construction-of-noori-girls-hostel-of-smbb-medical-university-larkana-03-20-2020","attachment not resolved to local PDF","3_15847781212.docx"
"announcement","notice-inviting-tender-for-adp-scheme-titled-renovation-rehabilitation-of-chandka-medical-college-and-construction-of-noori-girls-hostel-of-smbb-medical-university-larkana-03-20-2020","attachment not resolved to local PDF","2_15847781211.docx"
"announcement","notice-inviting-tender-for-adp-scheme-titled-renovation-rehabilitation-of-chandka-medical-college-and-construction-of-noori-girls-hostel-of-smbb-medical-university-larkana-03-20-2020","attachment not resolved to local PDF","1_15847781210.docx"
"announcement","notice-inviting-tender-for-petty-articles-stationary-items-and-electric-materials-09-10-2018","attachment not resolved to local PDF","technial-petty.doc"
"announcement","notice-inviting-tender-for-petty-articles-stationary-items-and-electric-materials-09-10-2018","attachment not resolved to local PDF","financial-petty.docx"
"announcement","notice-inviting-tender-for-petty-articles-stationary-items-and-electric-materials-09-10-2018","attachment not resolved to local PDF","technical-stationary.doc"
"announcement","notice-inviting-tender-for-petty-articles-stationary-items-and-electric-materials-09-10-2018","attachment not resolved to local PDF","financial-stationary.doc"
"announcement","notice-inviting-tender-for-petty-articles-stationary-items-and-electric-materials-09-10-2018","attachment not resolved to local PDF","technical-electric.doc"
"announcement","notice-inviting-tender-for-petty-articles-stationary-items-and-electric-materials-09-10-2018","attachment not resolved to local PDF","financial-electric.doc"
"news_event","interactive-lecture-on-public-health-management-11-30-2024","images present but none resolved","9 refs"
