slug,old_category,new_category,title
"examination-certificate-fees-challan-07-01-2026","job","examination","Examination Certificate Fees Challan"
"result-of-postgraduate-entry-test-for-session-july-2026-06-24-2026","circular","examination","Result of Postgraduate Entry Test for Session July -2026"
"rescheduling-of-interviews-for-various-positions-in-the-colleges-institutes-and-departments-of-shaheed-mohtarma-benazir-bhutto-medical-university-06-22-2026","circular","job","Rescheduling of interviews for various positions in the Colleges, Institutes, and Departments of Shaheed Mohtarma Benazir Bhutto Medical University"
"time-table-for-supplementary-examination-for-1st-2nd-and-3rd-year-mbbs-examinations-06-17-2026","circular","examination","Time Table for Supplementary Examination for 1st, 2nd and 3rd Year MBBS Examinations"
"rescheduling-of-interviews-for-admission-to-postgraduate-courses-session-july-2026-06-17-2026","examination","admission","Rescheduling of Interviews for Admission to Postgraduate Courses Session July-2026"
"postgraduate-entry-test-for-session-july-2026-06-15-2026","examination","admission","Postgraduate Entry Test for Session July - 2026"
"admission-for-certificate-in-health-professions-education-c-hpe-session-2026-batch-09-05-21-2026","circular","admission","Admission for Certificate in Health Professions Education (C-HPE) Session 2026 Batch-09"
"time-table-theory-bsn-generic-post-rn-year-i-semester-ii-regular-examination-session-2024-25-05-21-2026","circular","examination","Time Table (Theory) BSN (Generic & Post-Rn) Year-I, Semester-II Regular Examination Session (2024-25)"
"admissions-for-postgraduate-studies-session-2025-26-05-14-2026","circular","admission","Admissions for Postgraduate Studies Session 2025-26"
"result-of-postgraduate-diploma-entry-test-session-january-2026-03-19-2026","circular","examination","Result of Postgraduate Diploma Entry Test Session January, 2026"
"time-table-theory-bsn-generic-year-iv-semester-viii-re-sit-examination-session-2020-21-03-02-2026","circular","examination","Time Table (Theory) BSN (Generic) Year-IV, Semester- VIII Re-sit Examination (Session 2020 - 21)"
"result-of-postgraduate-degree-diploma-theory-viva-voce-examination-session-september-2025-held-in-the-month-of-january-february-2026-02-10-2026","circular","examination","Result of Postgraduate Degree & Diploma (Theory & Viva Voce) Examination Session September 2025 held in the month of January & February 2026."
"result-of-postgraduate-degree-theory-and-viva-voce-examination-september-2025-held-in-the-month-of-january-2026-and-february-2026-02-06-2026","circular","examination","Result of Postgraduate Degree (Theory and Viva Voce) Examination September, 2025 held in the Month of January, 2026 and February, 2026."
"time-table-of-4th-5th-professional-pharm-d-annual-theory-ospe-examinations-session-2020-21-2019-20-of-smbbmu-larkana-01-28-2026","circular","examination","Time Table of 4th & 5th Professional Pharm - D (Annual) Theory & OSPE Examinations (Session 2020 - 21 & 2019 - 20) OF SMBBMU Larkana"
"interview-postponement-notice-for-pg-courses-january-2026-session-12-16-2025","circular","job","Interview Postponement Notice for PG Courses (January 2026 Session)"
"result-of-postgraduate-entry-tests-for-session-january-2026-12-11-2025","circular","examination","Result of Postgraduate Entry Tests for Session January -2026"
"notice-inviting-tender-for-services-for-convocation-2025-smbb-medical-university-larkana-11-28-2025","circular","tender","Notice Inviting Tender for Services for Convocation 2025 @ SMBB Medical University Larkana"
"admission-for-certificate-in-health-professions-educationc-hpe-session-2026-11-17-2025","circular","admission","Admission for Certificate in Health Professions Education(C-HPE) Session 2026"
"notice-to-affiliated-colleges-regarding-admission-announcement-11-11-2025","circular","admission","Notice to Affiliated Colleges Regarding Admission Announcement"
"admission-in-postgraduate-courses-for-the-session-january-2026-10-28-2025","circular","admission","Admission in Postgraduate Courses for the Session January 2026"
"result-of-postgraduate-degree-diploma-examination-session-march-2025-10-01-2025","circular","examination","Result of Postgraduate Degree & Diploma Examination Session March-2025"
"admissions-are-open-for-phd-in-physiology-07-31-2025","circular","admission","Admissions are open for PHD in Physiology"
"result-of-final-year-mbbs-supplementary-examination-for-session-2019-2020-held-in-the-month-of-may-2025-06-18-2025","circular","examination","Result of Final Year MBBS Supplementary Examination for Session 2019-2020 held in the month of May 2025"
"corrigendum-for-the-admission-to-postgraduate-courses-for-session-july-2025-06-05-2025","circular","admission","Corrigendum for the Admission to Postgraduate Courses for Session July-2025"
"revised-timetable-of-2nd-4th-professional-mbbs-supplementary-examinations-06-02-2025","circular","examination","Revised Timetable of 2nd & 4th Professional MBBS (Supplementary) Examinations"
"admission-to-postgraduate-courses-for-the-session-july-2025-05-25-2025","circular","admission","Admission to Postgraduate Courses for the Session July-2025"
"admission-for-certificate-in-health-professions-education-c-hpe-session-2025-batch-07-05-19-2025","circular","admission","Admission for Certificate in Health Professions Education (C-HPE) Session 2025 Batch-07"
"timetable-of-2nd-3rd-professional-bds-annual-theory-ospe-osce-examination-session-2022-23-2021-22-of-smbbmu-badc-larkana-centre-04-25-2025","circular","examination","Timetable of 2nd & 3rd Professional BDS Annual (Theory & OSPE / OSCE) Examination (Session 2022 - 23 & 2021 - 22) OF SMBBMU@ BADC Larkana Centre"
"time-table-of-1st-professional-dpt-2nd-semester-regular-examination-session-2023-24-04-25-2025","circular","examination","Time Table of 1st  Professional DPT 2nd Semester Regular Examination Session 2023-24"
"notice-for-postponement-of-mphil-biochemistry-viva-voce-examinations-scheduled-for-24th-april-2025-04-23-2025","circular","examination","Notice for Postponement of M.Phil Biochemistry Viva Voce Examinations Scheduled for 24th April 2025"
