"sort_order","name","designation","roster"
"376","Dr. Syed Yousif Ali Shah","Professor","campus:bibi-aseefa-dental-college-larkana"
"377","Dr. Wajid Ali","Senior Registrar","campus:bibi-aseefa-dental-college-larkana"
"378","Dr. Preh Abro","Lecturer","campus:bibi-aseefa-dental-college-larkana"
"379","Dr. Muhammad Rafique Tagar","Associate Professor","campus:bibi-aseefa-dental-college-larkana"
"380","Dr. Arsalan Humayun","Assistant Professor","campus:bibi-aseefa-dental-college-larkana"
"381","Dr. Abdul Bari Memon","Associate Professor","campus:bibi-aseefa-dental-college-larkana"
"382","Dr. Imran Ali Maitlo","Lecturer","campus:bibi-aseefa-dental-college-larkana"
"383","Dr. Muhammad Adil","","campus:bibi-aseefa-dental-college-larkana"
"384","Prof. Dr. Kouro Mal Gurbakhshani","Professor","campus:bibi-aseefa-dental-college-larkana"
"385","Dr. Saira Baby","Lecturer","campus:bibi-aseefa-dental-college-larkana"
"386","Dr. Muharram Ali","Assistant Professor","campus:bibi-aseefa-dental-college-larkana"
"387","Dr. Muhammad Mubashir Ahmed","Senior Registrar","campus:bibi-aseefa-dental-college-larkana"
"388","Dr. Shumaila Shaikh","Assistant Professor","campus:bibi-aseefa-dental-college-larkana"
"389","Dr. Sarwanand","Senior Registrar","campus:bibi-aseefa-dental-college-larkana"
"390","Dr. Imdad Hussain","Senior Registrar","campus:bibi-aseefa-dental-college-larkana"
"391","Dr. Rashid Iqbal Bughio","Lecturer / Demonstrator","campus:bibi-aseefa-dental-college-larkana"
"392","Dr. Rajesh Kumar","Lecturer / Demonstrator","campus:bibi-aseefa-dental-college-larkana"
"393","Dr. Sarang Suresh","Lecturer","campus:bibi-aseefa-dental-college-larkana"
"394","Dr. Sunny","Lecturer","campus:bibi-aseefa-dental-college-larkana"
"395","Dr. Nadia Bashir","Lecturer","campus:bibi-aseefa-dental-college-larkana"
"396","Prof. Dr. Qaimuddin Shaikh","Professor","campus:bibi-aseefa-dental-college-larkana"
"397","Dr. Aswad Ahmed","Associate Professor (CCB)","campus:bibi-aseefa-dental-college-larkana"
"398","Dr. Asfar Hussain","Assistant Professor (CCB)","campus:bibi-aseefa-dental-college-larkana"
"399","Dr. Kinza Fatima","Lecturer","campus:bibi-aseefa-dental-college-larkana"
"400","Dr. Naeem Mustafa","Lecturer","campus:bibi-aseefa-dental-college-larkana"
"401","Dr. Bharti Kumari","Lecturer","campus:bibi-aseefa-dental-college-larkana"
"402","Dr. Priya Kumari","Lecturer","campus:bibi-aseefa-dental-college-larkana"
"403","Dr. Saleem Raza Khuhawar","Professor","campus:bibi-aseefa-dental-college-larkana"
"404","Dr. Arslan Ali","Lecturer / Registrar","campus:bibi-aseefa-dental-college-larkana"
"405","Dr. Farzana Mangi","Lecturer / Demonstrator","campus:bibi-aseefa-dental-college-larkana"
"406","Dr. Reeta Khatri","Lecturer / Demonstrator","campus:bibi-aseefa-dental-college-larkana"
